Village,lat,lon,landscape
alambi,1.9445434,28.903162,ituri
andagukodi,2.4100804,28.714924,ituri
apana,2.4675219,28.70089,ituri
babama,1.4274637,28.678539,ituri
babesua,1.4284047,28.174967,ituri
babungbe,1.411196,29.339764,ituri
badengaido,1.4095616,28.075954,ituri
bafwakoa,1.392596,27.941008,ituri
bahahaii,1.4158654,29.33025,ituri
bananaecole,1.3844558,28.890911,ituri
bananagite,1.3730623,28.874241,ituri
bandikecho,1.8243356,29.004354,ituri
bandisende,1.3578314,28.753626,ituri
banguimotaba,2.503641605,17.30980492,ndoki
bapukeli,1.3909131,28.616333,ituri
bavaloii,2.2315218,28.188568,ituri
boha,1.11134685,17.32389772,lac_tele
bokatola,1.566503435,17.37339308,lac_tele
bomassa,2.204729557,16.18706131,ndoki
botongo,0.855200684,17.09692397,lac_tele
bouanela,0.50358817,17.28819753,lac_tele
brazza,1.3466558,29.030769,ituri
bukulani,1.6063006,29.074093,ituri
dingbo,2.3121476,28.752947,ituri
djoube,2.436002493,17.46840668,ndoki
dzeke,1.05724668,17.30866839,lac_tele
eboyo,1.3965111,28.585861,ituri
ekulungu,1.493763,29.05151,ituri
ekwe,1.4566646,29.049423,ituri
epena,1.353627114,17.44928252,lac_tele
epulu,1.4024527,28.572519,ituri
gbagbali,2.087587833,16.08774185,ndoki
kabo,2.054090023,16.08639908,ndoki
kenetata,2.2725291,28.773897,ituri
kilimamweza,1.3609217,28.955196,ituri
kilonge,1.3831245,28.915758,ituri
koki,1.3980145,28.698961,ituri
komboni,1.8382386,28.990738,ituri
komboso,1.7935528,29.010799,ituri
kusamba,2.1375105,28.829681,ituri
leme,1.917672873,16.09479141,ndoki
lolwa,1.3494548,29.492378,ituri
mabukulu,1.345914,29.210264,ituri
machinga,2.3418021,28.191509,ituri
maitatu,1.4822899,29.048998,ituri
makao,2.597167253,17.17098999,ndoki
makelele,1.8545916,28.972837,ituri
malembi,2.2455146,28.791706,ituri
mamopi,1.4108166,28.472778,ituri
mandima,1.3497698,29.074991,ituri
mania,1.3505521,29.155651,ituri
maro,1.7034407,29.066509,ituri
masiliko,1.352186,29.238846,ituri
mavuno,1.8359277,29.002661,ituri
mayuano,1.1322397,29.148619,ituri
mayuwano,1.1322397,29.148619,ituri
mboukou,1.060668137,17.31329893,lac_tele
melebwe,1.3415983,28.773907,ituri
melekidele,1.8748323,29.032301,ituri
melekidele2,1.8748323,29.032301,ituri
metale,1.2294978,29.108444,ituri
mobangui,1.68682036,17.12555616,lac_tele
mokengui,1.651859766,17.35672312,lac_tele
molokay,1.4355354,28.279814,ituri
moungoumabailly,0.997281157,17.07449157,lac_tele
mulayi,1.8039163,29.010767,ituri
nduye,1.8290164,28.997646,ituri
nduyeii,1.8290164,28.997646,ituri
ngatongo,1.688575029,16.13070107,ndoki
ngolukube,1.780213,29.012438,ituri
parana,1.3835295,28.905857,ituri
pucha,1.4710103,29.048719,ituri
salate,1.4124509,28.380518,ituri
salatei,1.4124509,28.380518,ituri
sayo,1.3681204,28.983408,ituri
some,1.2037503,29.118612,ituri
teturi,1.0527811,29.148014,ituri
upuko,,,ituri
yanonge,1.4053495,28.393047,ituri
zimamoto,1.4101843,27.615547,ituri
zunguluka,1.3514612,28.850786,ituri
